No,LLM,Size,Family,Closed_Open,A1_GRAMMAR,A1_LC,A1_RC,A1_VOCAB,A1_total,A2_GRAMMAR,A2_LC,A2_RC,A2_VOCAB,A2_total,B1_GRAMMAR,B1_LC,B1_RC,B1_VOCAB,B1_total,B2_GRAMMAR,B2_LC,B2_RC,B2_VOCAB,B2_total,C1_GRAMMAR,C1_LC,C1_RC,C1_VOCAB,C1_total,C2_GRAMMAR,C2_LC,C2_RC,C2_VOCAB,C2_total
0,Qwen 2 - 0.5B,0,Qwen,Open,26.92,19.23,23.08,38.46,26.92,11.54,23.08,19.23,34.62,22.12,15.38,23.08,23.08,32,23.3,17.65,30.77,19.23,25,22.81,20.69,20,30.77,16.67,22.12,26.09,19.23,11.54,7.69,15.84
1,Llama 3.2 - 1B,1,Llama,Open,34.62,19.23,34.62,15.38,25.96,11.54,19.23,19.23,26.92,19.23,46.15,15.38,19.23,32,28.16,20.59,23.08,19.23,21.43,21.05,20.69,28,11.54,16.67,19.23,8.7,7.69,19.23,15.38,12.87
2,Gemma 3 - 1B,1,Gemma,Open,46.15,46.15,50,38.46,45.19,34.62,42.31,50,19.23,36.54,42.31,34.62,34.62,44,38.83,44.12,53.85,50,14.29,40.35,20.69,24,26.92,29.17,25,39.13,38.46,38.46,19.23,33.66
3,Qwen 2 - 1.5B,1,Qwen,Open,38.46,15.38,42.31,34.62,32.69,26.92,23.08,23.08,38.46,27.88,30.77,23.08,19.23,28,25.24,38.24,34.62,23.08,28.57,31.58,13.79,28,19.23,25,21.15,21.74,26.92,23.08,23.08,23.76
4,StableLM 2,1,StableLM,Open,34.62,15.38,7.69,30.77,22.12,23.08,15.38,0,19.23,14.42,30.77,23.08,11.54,20,21.36,23.53,3.85,11.54,25,16.67,24.14,12,3.85,20.83,15.38,34.78,11.54,0,23.08,16.83
5,EuroLLM - 1.7B,1,EuroLLM,Open,15.38,23.08,11.54,19.23,17.31,23.08,23.08,15.38,23.08,21.15,11.54,3.85,11.54,24,12.62,29.41,19.23,23.08,21.43,23.68,27.59,28,15.38,33.33,25.96,13.04,11.54,23.08,23.08,17.82
6,Gemma 2 - 2B,2,Gemma,Open,46.15,34.62,38.46,38.46,39.42,23.08,34.62,34.62,38.46,32.69,19.23,30.77,30.77,44,31.07,32.35,50,30.77,17.86,32.46,31.03,32,19.23,29.17,27.88,26.09,26.92,23.08,38.46,28.71
7,Llama 3.2 - 3B,3,Llama,Open,34.62,34.62,46.15,34.62,37.5,23.08,53.85,26.92,38.46,35.58,26.92,23.08,23.08,32,26.21,26.47,42.31,42.31,32.14,35.09,24.14,40,23.08,37.5,30.77,34.78,19.23,30.77,15.38,24.75
8,Phi 3,3,Phi,Open,46.15,50,57.69,26.92,45.19,23.08,50,38.46,34.62,36.54,23.08,38.46,23.08,24,27.18,26.47,38.46,15.38,25,26.32,24.14,32,23.08,33.33,27.88,8.7,19.23,19.23,23.08,17.82
9,Phi 3.5,3,Phi,Open,50,42.31,30.77,34.62,39.42,30.77,38.46,15.38,26.92,27.88,19.23,7.69,11.54,8,11.65,8.82,7.69,11.54,14.29,10.53,6.9,4,7.69,12.5,7.69,4.35,15.38,15.38,7.69,10.89
10,Gemma 3 - 4B,4,Gemma,Open,26.92,57.69,69.23,65.38,54.81,50,50,34.62,38.46,43.27,34.62,46.15,30.77,48,39.81,29.41,61.54,42.31,57.14,46.49,17.24,44,53.85,33.33,36.54,39.13,23.08,30.77,34.62,31.68
11,Qwen 2 - 7B,7,Qwen,Open,26.92,53.85,69.23,42.31,48.08,38.46,46.15,38.46,23.08,36.54,23.08,61.54,15.38,28,32.04,35.29,42.31,38.46,28.57,35.96,24.14,40,38.46,58.33,39.42,39.13,38.46,15.38,34.62,31.68
12,Llama 2 - 7B,7,Llama,Open,34.62,30.77,53.85,26.92,36.54,23.08,50,34.62,46.15,38.46,26.92,19.23,26.92,24,24.27,32.35,42.31,38.46,46.43,39.47,17.24,36,19.23,29.17,25,26.09,30.77,38.46,11.54,26.73
13,WizardLM 2,7,WizardLM,Open,34.62,34.62,65.38,42.31,44.23,34.62,42.31,26.92,50,38.46,15.38,30.77,15.38,24,21.36,23.53,30.77,30.77,42.86,31.58,37.93,24,23.08,29.17,28.85,47.83,34.62,11.54,26.92,29.7
14,Mistral,7,Mistral,Open,26.92,38.46,46.15,30.77,35.58,30.77,46.15,42.31,23.08,35.58,34.62,34.62,26.92,40,33.98,23.53,46.15,26.92,28.57,30.7,27.59,36,34.62,41.67,34.62,26.09,26.92,30.77,23.08,26.73
15,Aya-23,8,Aya,Open,38.46,38.46,46.15,38.46,40.38,19.23,42.31,30.77,30.77,30.77,19.23,38.46,26.92,36,30.1,32.35,42.31,26.92,25,31.58,41.38,32,23.08,29.17,31.73,26.09,30.77,38.46,30.77,31.68
16,Llama 3.1 - 8B,8,Llama,Open,61.54,57.69,57.69,50,56.73,30.77,46.15,26.92,30.77,33.65,38.46,57.69,19.23,16,33.01,23.53,26.92,53.85,32.14,33.33,20.69,32,50,20.83,30.77,26.09,46.15,30.77,30.77,33.66
17,Llama 3 - 8B,8,Llama,Open,42.31,46.15,50,42.31,45.19,34.62,50,26.92,30.77,35.58,30.77,38.46,30.77,40,34.95,38.24,46.15,34.62,25,35.96,17.24,28,26.92,45.83,28.85,39.13,23.08,42.31,23.08,31.68
18,DeepSeek-R1 - 8B,8,DeepSeek,Open,42.31,46.15,57.69,69.23,53.85,38.46,46.15,26.92,46.15,39.42,42.31,34.62,30.77,48,38.83,38.24,38.46,46.15,35.71,39.47,24.14,36,50,29.17,34.62,21.74,46.15,30.77,15.38,28.71
19,GLM 4,9,GLM,Open,34.62,50,73.08,61.54,54.81,26.92,53.85,42.31,42.31,41.35,15.38,53.85,26.92,56,37.86,26.47,50,50,60.71,45.61,34.48,44,46.15,54.17,44.23,26.09,50,26.92,38.46,35.64
20,EuroLLM - 9B,9,EuroLLM,Open,30.77,34.62,57.69,53.85,44.23,38.46,50,42.31,50,45.19,42.31,26.92,30.77,32,33.01,23.53,42.31,34.62,39.29,34.21,31.03,32,23.08,41.67,31.73,26.09,26.92,26.92,23.08,25.74
